26,-26
-99,23
-94,32
17,11
22,76
80,-63
62,-35
60,89
60,71
-38,81
18,-94
-42,91
-95,99
-37,-6
20,18
-73,-42
-10,54
18,-4
72,67
63,-91
95,-71
52,10
-85,63
10,16
-62,-81
-21,55
-91,-46
51,53
-41,11
-83,-19
-68,-60
12,-84
90,-13
42,7
-78,-60
48,-85
-95,23
52,-55
-18,38
-65,98
26,32
-25,33
83,42
-84,-28
-65,-96
47,-1
-27,-85
82,-22
39,38
14,-92
-74,-54
74,85
13,62
48,49
-83,-44
-57,-32
-9,86
59,86
-64,15
71,-89
-91,89
-80,50
8,-89
23,-20
-63,-24
79,-81
16,-9
-45,-57
55,-69
-37,-99
-92,13
6,39
-46,-52
70,-48
23,-12
24,-57
-2,31
84,-30
-1,72
-65,80
1,76
-35,55
44,-16
48,77
6,6
6,-43
-56,13
6,-87
-52,-39
27,-76
-49,-61
-86,68
88,14
-8,-62
35,-60
49,83
54,76
-28,82
99,25
